idmovimentacaoitem,valor_desconto,valor,valor_cancelado,valor_juros,valor_multa,valor_taxa,valor_taxa_juros,valor_taxa_cancelado,valor_cupom,status,dthr_pagamento,idmovimentacao,idproduto,dscproduto,idequipamento,tipo_equipamento,idformapag,dscformapag,idtipoproduto,dsctipoproduto,idapresentacao,dscapresentacao,dthr_apresentacao,idprodutocategoria,dscproduto_categoria,idevento,dscevento,idpessoa,nome,cpf,rg,passaporte,documento,documento_unificado,newsletter,end_cidade,end_estado,end_pais,celular,email,sexo,dt_nascimento,idpessoa_tipo,dscpessoa_tipo,cliente
88a591b3-a6ce-4a9d-9252-57e5d71606c5,88.07,852.17,6.61,15.68,12.99,46.83,7.56,7.04,4.46,PA,2021-08-10 01:24:28,df6b9e12-f582-439b-8531-69d74b8058e9,d45716ea-7818-4bc9-8593-c9190161af3f,Nulla,5b4dbf36-e109-40ce-a206-b07e865624ac,108,801fb0f3-392f-4c95-aa96-71b2490a4c57,Diners Club / Carte Blanche,369058d6-c4f2-49df-9e74-dabf8003c239,Qui,b31dcd86-4cbf-4fa4-b2b3-e5bed588884d,A liberdade de inovar com toda a tranquilidade,2020-01-01 15:33:51,ba63af73-f7ed-4bc1-a113-5daad225d0f5,Iste,7d42eb05-5d2f-4cb0-961b-b47cb0db1a41,Laudantium,b1f0a5bf-29b7-4d45-bd14-07b838d3b9b3,Maria Vitória Fernandes,65397041270,337521320,796884178,252609982,65397041270,1,Fortaleza,RS,Brasil,5521929921724,portojoao-felipe@ig.com.br,4,1986-03-04,c9490b45-af66-40eb-9b1d-ec127dbf1804,Profissional de relações públicas,juventude
aa46f3b4-a4e5-485d-8ef0-615c3ecf64a0,113.0,433.54,4.04,2.14,23.5,24.52,0.63,2.13,11.06,PA,2024-06-19 09:08:55,bfeb21bd-ce7d-490a-bac3-4f147fa9678e,937a037e-9d50-4a9c-b849-c5d91f68279a,Maiores,474f56f4-e377-496c-ac1e-56398090e331,125,acbed526-e6f2-4d80-8ca4-2a6787f5d44b,VISA 16 digit,ff74decd-de8f-47b8-8269-8b955c908313,Incidunt,21d779d9-e158-463d-9497-5b944925b566,A simplicidade de mudar mais facilmente,2021-03-27 13:25:33,9151abe8-75c0-4556-bdb1-2656f4461d3f,Esse,5cb9e33e-d6ad-4151-af70-5be545ab3fe0,Possimus,80a3a37d-e3bf-4fd3-a4e0-e8ed16ea650d,Cauê Nogueira,50782319432,375037482,774108931,624637870,50782319432,1,Rio de Janeiro,PE,Brasil,5541940429123,ycarvalho@yahoo.com.br,1,2004-08-26,cd9cfd03-dff3-492b-87ce-738d7e22c602,Serventuário,juventude
32660c9b-48c2-4ab4-9d36-3d65140ff991,150.45,969.5,7.96,7.59,24.29,3.15,11.55,5.2,19.71,PA,2022-09-19 03:57:16,97c19748-7510-45fe-a70e-27fa315680ce,4049c135-c33f-4bdb-916a-53fa1a4017d1,Fugiat,7aef0e0d-387b-4dc3-92da-7648c5668ca4,125,801fb0f3-392f-4c95-aa96-71b2490a4c57,Diners Club / Carte Blanche,7f75d22f-c326-4754-836a-5e24ba470006,Dolorum,23910187-92ba-4430-9bfd-fed97fc6a5e9,A possibilidade de mudar antes de tudo,2024-12-30 02:09:49,e4c95de8-9437-4244-b863-e53cb2e36ffa,Dolorem,21ea8866-9e35-458c-856c-92e3f0dd5850,Non,2ca2edbc-fa58-41f2-81cc-9455e3010742,Isis Ferreira,73248560983,757892926,233126792,074812032,73248560983,0,Fortaleza,PE,Brasil,5541929034242,davi-lucas43@pinto.net,2,1975-08-11,27674dd9-6cf6-47a4-8e46-b824ca7c61da,Patologista oral,sport
1c02f808-161f-4bfd-a7f6-9ad503f692de,33.31,474.5,9.85,18.9,9.95,36.28,14.47,5.51,19.48,PA,2022-10-27 21:34:22,e6a6f245-a023-419a-a3d3-d402ff9db644,c62a491a-ca41-449a-abcf-06721be2252f,Sunt,96bb8395-0d08-4cb5-bb8e-bb749d2b0eb2,109,acbed526-e6f2-4d80-8ca4-2a6787f5d44b,VISA 16 digit,23e00fa1-d953-417f-9bfa-3289c13edff3,Dolores,b6b2c39b-d858-4c2b-970a-7f228e0f5694,O conforto de evoluir de maneira eficaz,2022-02-09 22:13:01,c31f1dea-999c-4746-80e9-ea2ca78145c4,Illum,0e956e2a-cdaa-42b1-afcf-e820e14de258,Autem,eb4176bc-d68f-4b7a-9a75-43c45d2953d3,Ana Julia Cavalcanti,16894325782,240907867,015373088,290871327,16894325782,1,Fortaleza,PE,Brasil,5521990783173,pedro-miguelrocha@silva.org,1,1979-05-25,75bc3203-bb49-4bcb-9be0-e31e715313fb,Carnavalesco,sport
3a68304b-a977-42c9-9c61-f005454f84a5,133.36,933.39,4.73,7.16,0.74,28.96,5.57,7.88,3.53,PA,2024-05-15 00:54:36,74a250d8-980a-424a-8f69-5c457c4625d3,42b35396-c71a-40e2-a61a-cbabcc8e7295,Iste,07cdfeda-14bc-43b2-ad32-a96d32d2920f,100,e8d402bf-d972-4e35-83d1-94afb88d29b0,VISA 16 digit,8e2fbc05-7f42-4d3b-9189-81f2480d86ce,Maxime,a31a6865-0fb2-439a-8e5a-6982053fe79f,O conforto de mudar mais facilmente,2023-10-29 10:41:03,c83b486a-dc7d-4499-a468-67e417169cbc,Ipsa,0e956e2a-cdaa-42b1-afcf-e820e14de258,Autem,3a90ca4c-f4a2-4b8c-b832-0af383725de7,Alana Pereira,91627034552,324815160,854031934,686727725,91627034552,0,Porto Alegre,SC,Brasil,5511956638816,mpereira@mendes.br,2,1962-06-03,cd9cfd03-dff3-492b-87ce-738d7e22c602,Serventuário,juventude
6e5cdefb-26e5-49f8-85b9-3fa7503cbed4,46.35,215.26,1.86,0.33,0.61,45.66,4.36,3.71,9.09,PA,2021-11-03 01:25:41,f8a271df-9cbc-4c26-ba47-dcf7e1c9deac,0800dd0b-c833-478f-8fbe-156fff4b7f2b,Libero,2c94ad99-aaf7-48e7-92d3-d6bbdee86d5b,122,fb1804d1-40db-45cc-871e-acb2627c50cd,Diners Club / Carte Blanche,8e2fbc05-7f42-4d3b-9189-81f2480d86ce,Maxime,025050f9-1ce1-42c7-ad96-d5e2559b8c85,O poder de evoluir direto da fonte,2023-07-13 20:11:02,339009bb-0d0a-4d19-8828-50ea7bebc37a,Earum,7d42eb05-5d2f-4cb0-961b-b47cb0db1a41,Laudantium,ca866981-dd20-4012-9a75-9cf9950aa78a,Dr. Eduardo Jesus,40168293560,115783040,625924015,248558446,40168293560,0,Curitiba,RJ,Brasil,5584973628187,mouraryan@uol.com.br,0,1983-04-08,b7b9f86e-4097-4ed8-b240-3e5ebde828d0,Mensageiro,sport
0b502e3e-8912-41eb-bfa7-646521509861,45.35,164.82,5.84,16.62,13.58,37.56,6.83,8.91,12.56,PA,2020-09-01 17:30:46,5738b3f8-cbce-4b9a-8bd4-19efe6a6fc28,2615fc0e-c1f3-40d3-b31a-2b0b87640edd,Explicabo,783528dc-47c4-4a10-bf5c-cee2478755f8,100,e8c3263f-5560-4401-9bb8-02e2e15e245c,American Express,354b5d88-032b-4d72-83d0-40141e1b4449,Rem,025050f9-1ce1-42c7-ad96-d5e2559b8c85,O poder de evoluir direto da fonte,2021-10-25 13:06:25,0b5f2f37-13dc-4ff7-8701-5efd79a43cbf,Omnis,21ea8866-9e35-458c-856c-92e3f0dd5850,Non,416dfdef-ffa7-4723-99d7-60c9a7f70090,Benjamin Lima,92384560115,382462872,949999362,127410821,92384560115,1,Fortaleza,SP,Brasil,5541988079223,mvieira@hotmail.com,1,1971-12-01,fe781ae5-2bf9-48b2-aa81-05145123051a,Dialoguista,juventude
960891a8-8ddf-4856-8e9e-706e8cf86a82,33.35,167.05,4.72,7.01,13.7,35.12,9.87,9.04,15.81,PA,2024-06-18 20:34:25,dca8f23b-3d85-4eb9-b0c9-097561282ee9,cf47fe95-2492-4aa4-b55d-33692cbd7ce0,Atque,72f33722-ffc8-418c-9d55-2538f71df988,108,e8c3263f-5560-4401-9bb8-02e2e15e245c,American Express,23e00fa1-d953-417f-9bfa-3289c13edff3,Dolores,025050f9-1ce1-42c7-ad96-d5e2559b8c85,O poder de evoluir direto da fonte,2024-01-29 19:43:59,2c957832-47da-4754-b296-2c94f18511ea,Animi,0e956e2a-cdaa-42b1-afcf-e820e14de258,Autem,94f8546f-8d7b-47d7-8427-34163b06a80f,Sr. Raul Souza,98263701503,919696812,734913156,922209111,98263701503,1,Recife,PR,Brasil,5561940582933,ana-vitorianascimento@porto.com,2,1987-03-11,27674dd9-6cf6-47a4-8e46-b824ca7c61da,Patologista oral,juventude
3fc104a0-a3fe-490f-b9b1-fceb7586d8b1,102.01,404.21,0.4,15.84,17.25,7.84,0.22,4.39,18.73,PA,2024-04-02 15:06:32,aaef7d1f-981c-4631-99d6-79026a6c457e,fd09f30b-0951-4abe-8a07-0eb89857bb62,Molestiae,c63d26b3-2c62-4e4a-a13f-c02a1f7e3cba,109,e8d402bf-d972-4e35-83d1-94afb88d29b0,VISA 16 digit,8e2fbc05-7f42-4d3b-9189-81f2480d86ce,Maxime,025050f9-1ce1-42c7-ad96-d5e2559b8c85,O poder de evoluir direto da fonte,2022-02-18 21:32:04,2c957832-47da-4754-b296-2c94f18511ea,Animi,5cb9e33e-d6ad-4151-af70-5be545ab3fe0,Possimus,27a8bb50-28f9-4a8e-8656-8759b35123a0,Melissa Fogaça,59107328460,391078402,724587273,719334663,59107328460,1,Recife,SP,Brasil,5581910698622,da-cruzmirella@hotmail.com,0,1977-05-11,fe781ae5-2bf9-48b2-aa81-05145123051a,Dialoguista,sport
2ca15868-9a17-4c19-9643-82fc334f0c47,38.95,240.96,8.91,19.62,23.37,13.41,3.71,4.29,18.81,PA,2020-07-14 22:54:05,dea04331-be11-4df9-b7b4-6146a969f418,3e9183a1-9464-43b8-b5c5-9339e14238e0,Earum,8470c3c2-4946-4f33-94b8-34da724822cf,109,cde07737-c1f4-4403-bb45-d2f1785d65b0,VISA 16 digit,5c3dbee0-df8b-44cf-a9f9-cbd34a436764,Ipsam,a55df002-bd2d-480a-8087-03a0f30a1d5d,A liberdade de ganhar com toda a tranquilidade,2020-02-21 03:06:10,c83b486a-dc7d-4499-a468-67e417169cbc,Ipsa,3b1470df-006d-4b79-ad3b-7c4f0e5e9e64,Pariatur,dc40c30b-1db0-49aa-9e97-75d40bf285c9,Maria Fernanda da Mata,69501482758,807314066,126993460,041562701,69501482758,1,Salvador,CE,Brasil,5511997217827,joao-vitor56@cardoso.net,4,1973-02-05,f8b80812-3294-40a6-8024-06178033ee80,Terapeuta Holístico,internacional
